frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
500.0,0.5571982264518738,0.38975638151168823,0.46408411860466003,0.4484643340110779,0.48036399483680725
1000.0,0.37302276492118835,0.31116732954978943,0.4370027184486389,0.4513031542301178,0.4371860921382904
1500.0,0.640988826751709,0.6840904355049133,0.3843232989311218,0.4655110538005829,0.41264608502388
2000.0,0.6737369298934937,0.18240498006343842,0.7173686027526855,0.5106099843978882,0.5682523846626282
2500.0,0.34469693899154663,0.7689236402511597,0.6528021097183228,0.3750220239162445,0.24823543429374695
3000.0,0.6230375170707703,0.2676434814929962,0.6933371424674988,0.28770965337753296,0.6560564637184143
3500.0,0.4083383083343506,0.7468305230140686,0.6640267372131348,0.2664392590522766,0.18564525246620178
4000.0,0.3655572831630707,0.11890587955713272,0.2730960249900818,0.24147328734397888,0.7146010398864746
4500.0,0.6015311479568481,0.11382191628217697,0.6093552708625793,0.18566419184207916,0.23386399447917938
5000.0,0.40336424112319946,0.1223355159163475,0.5486902594566345,0.6118606925010681,0.11849384754896164
5500.0,0.5421035289764404,0.10000000149011612,0.2988336980342865,0.15775157511234283,0.10000000149011612
6000.0,0.6656967401504517,0.10573484003543854,0.4809059500694275,0.13680702447891235,0.14811977744102478
6500.0,0.5961602926254272,0.2458261251449585,0.3446834683418274,0.7175488471984863,0.10000000149011612
7000.0,0.3598317503929138,0.10000000149011612,0.3912271559238434,0.13735872507095337,0.18584106862545013
7500.0,0.5453905463218689,0.10000000149011612,0.38726723194122314,0.8876951932907104,0.13963165879249573
8000.0,0.5034468770027161,0.10000000149011612,0.3770042359828949,0.13326847553253174,0.10000000149011612
8500.0,0.3525395393371582,0.13869793713092804,0.3912932872772217,0.16096405684947968,0.8665845990180969
9000.0,0.5414595007896423,0.10000000149011612,0.4551834166049957,0.7356281280517578,0.10000000149011612
9500.0,0.42929378151893616,0.10718908905982971,0.45709162950515747,0.7062370777130127,0.10000000149011612
10000.0,0.393187016248703,0.23889710009098053,0.3851897418498993,0.7118235230445862,0.6313117146492004
10500.0,0.470630943775177,0.10000000149011612,0.35190948843955994,0.4193759560585022,0.10000000149011612
11000.0,0.6035122871398926,0.10000000149011612,0.30221208930015564,0.425983726978302,0.6116997599601746
11500.0,0.2740209400653839,0.10370022058486938,0.3061431646347046,0.38648268580436707,0.10000000149011612
12000.0,0.42418020963668823,0.35943803191185,0.2610059976577759,0.4217391610145569,0.10000000149011612
12500.0,0.5248144268989563,0.10000000149011612,0.19591592252254486,0.682390034198761,0.10000000149011612
13000.0,0.609849214553833,0.10000000149011612,0.43513089418411255,0.3944677412509918,0.4481818974018097
13500.0,0.6157633662223816,0.10000000149011612,0.20276109874248505,0.310547411441803,0.37392547726631165
14000.0,0.5598410367965698,0.10000000149011612,0.22729437053203583,0.44367164373397827,0.3537106215953827
14500.0,0.6284757852554321,0.10000000149011612,0.15868467092514038,0.43839630484580994,0.24203771352767944
15000.0,0.4162735939025879,0.15868361294269562,0.11089407652616501,0.3212144672870636,0.16307121515274048
15500.0,0.531988263130188,0.8290070295333862,0.17136108875274658,0.6647133231163025,0.20230700075626373
16000.0,0.5058007836341858,0.6916343569755554,0.1359013319015503,0.15795202553272247,0.13702870905399323
16500.0,0.4757075607776642,0.7090517282485962,0.11853588372468948,0.13868126273155212,0.8999999761581421
17000.0,0.48663464188575745,0.24469506740570068,0.14356039464473724,0.20353606343269348,0.10000000149011612
17500.0,0.4606083631515503,0.30994755029678345,0.10000000149011612,0.7093172669410706,0.12690167129039764
18000.0,0.3777875304222107,0.21177545189857483,0.1519661545753479,0.15093007683753967,0.10000000149011612
18500.0,0.3314514458179474,0.7950074076652527,0.3691401481628418,0.11820921301841736,0.10000000149011612
19000.0,0.29109805822372437,0.460660845041275,0.1327342838048935,0.10000000149011612,0.1465441733598709
19500.0,0.23395583033561707,0.22139722108840942,0.10000000149011612,0.10000000149011612,
20000.0,0.3404156267642975,0.30482983589172363,0.10000000149011612,0.12007103115320206,
20500.0,0.6558826565742493,0.31039926409721375,0.10000000149011612,0.6922677159309387,0.13799810409545898
21000.0,0.2753473222255707,0.15077370405197144,0.10000000149011612,0.10000000149011612,0.10000000149011612
21500.0,0.16337630152702332,0.17424702644348145,0.10000000149011612,0.10000000149011612,0.10000000149011612
22000.0,0.17476174235343933,0.6841536164283752,0.5391990542411804,0.6873219609260559,0.19667473435401917
22500.0,0.11643793433904648,0.12982860207557678,0.10000000149011612,0.10000000149011612,0.10000000149011612
23000.0,0.8549252152442932,0.1480993628501892,0.10000000149011612,0.5591844916343689,0.10000000149011612
23500.0,0.10000000149011612,0.7459341287612915,0.5874144434928894,,0.8999999761581421
24000.0,0.10000000149011612,0.21551939845085144,0.10000000149011612,0.1729603409767151,0.10000000149011612
24500.0,0.19300976395606995,0.19524432718753815,0.10000000149011612,0.633678138256073,0.4326225221157074
25000.0,0.10246932506561279,0.15574993193149567,0.10000000149011612,0.8290585279464722,0.3289509117603302
25500.0,0.10332222282886505,0.17913326621055603,0.5973169207572937,0.10000000149011612,0.10000000149011612
26000.0,0.10000000149011612,,0.10000000149011612,0.21981343626976013,0.10000000149011612
26500.0,0.10000000149011612,0.20196445286273956,0.10000000149011612,0.55986487865448,0.10000000149011612
27000.0,0.10000000149011612,0.10000000149011612,0.42764878273010254,0.1902489811182022,0.10000000149011612
27500.0,0.10000000149011612,0.16011063754558563,0.10000000149011612,0.10567308217287064,0.10000000149011612
28000.0,0.10000000149011612,0.10000000149011612,0.4682328999042511,0.10000000149011612,
28500.0,0.10000000149011612,0.2681230902671814,0.10000000149011612,0.14179173111915588,0.10000000149011612
29000.0,0.10000000149011612,0.12326399981975555,0.10000000149011612,0.4865715205669403,0.5898883938789368
29500.0,0.8999999761581421,0.16165921092033386,0.10000000149011612,0.10703402012586594,0.10000000149011612
30000.0,0.67514967918396,0.10000000149011612,0.10000000149011612,0.7021934986114502,
30500.0,0.16272063553333282,0.10000000149011612,0.10000000149011612,0.19744662940502167,0.10000000149011612
31000.0,0.10000000149011612,,0.10000000149011612,0.3244917094707489,0.10000000149011612
31500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
32000.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.7361114025115967,0.10000000149011612
32500.0,0.8999999761581421,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.10000000149011612
33000.0,0.16110385954380035,0.1501302868127823,0.10000000149011612,0.10000000149011612,0.8999999761581421
33500.0,0.10000000149011612,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.10000000149011612
34000.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
34500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.14942841231822968,0.1173165887594223
35000.0,0.200301393866539,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.5182414054870605
35500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,
36000.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.7802094221115112,0.10000000149011612
36500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10619746148586273,0.12272331863641739
37000.0,0.11873038858175278,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.5942046642303467
37500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.1787484735250473
38000.0,0.10000000149011612,0.8999999761581421,0.10000000149011612,0.12386178970336914,0.1059892550110817
38500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.23678645491600037,0.10000000149011612
39000.0,0.20683583617210388,0.10000000149011612,0.10000000149011612,0.17484018206596375,0.574823796749115
39500.0,0.1238204687833786,0.10000000149011612,0.10000000149011612,0.11922643333673477,0.6953061819076538
40000.0,0.10000000149011612,0.8999999761581421,0.887420654296875,0.10470480471849442,0.14726218581199646
40500.0,0.10000000149011612,0.15052205324172974,0.10000000149011612,0.7819607257843018,0.22350162267684937
41000.0,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.2719639241695404,0.17670442163944244
41500.0,0.10000000149011612,0.11135265231132507,0.8999999761581421,0.8381152153015137,0.6036731004714966
42000.0,0.10000000149011612,0.3041680157184601,0.10000000149011612,0.3326209783554077,0.10000000149011612
42500.0,0.10000000149011612,0.10000000149011612,0.8999999761581421,0.10000000149011612,0.16171802580356598
43000.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.25467124581336975
43500.0,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
44000.0,0.10000000149011612,,0.10000000149011612,0.10000000149011612,0.10000000149011612
44500.0,0.1413077414035797,0.10000000149011612,0.8999999761581421,0.10000000149011612,0.10000000149011612
45000.0,0.10000000149011612,0.10130244493484497,0.10000000149011612,0.13129374384880066,0.10154101997613907
45500.0,0.10000000149011612,0.17085643112659454,0.10000000149011612,0.18539246916770935,0.10000000149011612
46000.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.8999999761581421
46500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.8999999761581421,0.10000000149011612
47000.0,0.10000000149011612,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.1022258847951889
47500.0,0.1923835724592209,0.8999999761581421,0.10000000149011612,0.16084420680999756,0.10000000149011612
48000.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.8229820728302002
48500.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
49000.0,0.1267843097448349,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
