frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
73500.0,8415,5819,4524,6538,6399.0
74000.0,8431,5837,4543,6544,6421.0
74500.0,8455,5861,4555,6556,6448.0
75000.0,8467,5885,4568,6565,6478.0
75500.0,8480,5904,4581,6580,6512.0
76000.0,8497,5933,4594,6590,6535.0
76500.0,8510,5959,4613,6604,6551.0
77000.0,8524,5997,4623,6613,6580.0
77500.0,8551,6027,4631,6625,6602.0
78000.0,8564,6059,4650,6637,6611.0
78500.0,8573,6092,4664,6663,6638.0
79000.0,8590,6112,4689,6672,6654.0
79500.0,8604,6140,4707,6684,6681.0
80000.0,8615,6155,4719,6696,6703.0
80500.0,8635,6187,4735,6707,6728.0
81000.0,8643,6209,4742,6717,6754.0
81500.0,8651,6239,4749,6729,6768.0
82000.0,8657,6287,4760,6741,6781.0
82500.0,8671,6325,4773,6750,6809.0
83000.0,8685,6367,4788,6768,6831.0
83500.0,8698,6400,4806,6787,6845.0
84000.0,8719,6444,4820,6801,6865.0
84500.0,8734,6502,4843,6822,6891.0
85000.0,8745,6549,4853,6833,6918.0
85500.0,8758,6576,4871,6851,6931.0
86000.0,8772,6633,4890,6863,6958.0
86500.0,8782,6687,4908,6877,6974.0
87000.0,8800,6744,4921,6891,6995.0
87500.0,8812,6795,4936,6905,7020.0
88000.0,8824,6835,4956,6923,7039.0
88500.0,8848,6884,4975,6931,7068.0
89000.0,8865,6936,4993,6943,7087.0
89500.0,8875,6976,5006,6964,7109.0
90000.0,8890,7034,5016,6995,7126.0
90500.0,8919,7100,5029,7019,7150.0
91000.0,8938,7145,5053,7036,7165.0
91500.0,8948,7192,5083,7061,7180.0
92000.0,8957,7222,5095,7072,7204.0
92500.0,8972,7244,5115,7086,7221.0
93000.0,8983,7263,5138,7097,7235.0
93500.0,8992,7296,5152,7120,7247.0
94000.0,9010,7329,5167,7138,7263.0
94500.0,9026,7352,5181,7151,7277.0
95000.0,9040,7395,5190,7168,7287.0
95500.0,9051,7435,5214,7183,7296.0
96000.0,9062,7478,5235,7199,7306.0
96500.0,9072,7516,5242,7208,7321.0
97000.0,9084,7562,5250,7226,7342.0
97500.0,9102,7614,5263,7239,7352.0
98000.0,9123,7665,5280,7254,7367.0
98500.0,9135,7710,5298,7268,7381.0
99000.0,9146,7761,5316,7287,7399.0
99500.0,9156,7807,5330,7303,7414.0
100000.0,9168,7853,5343,7314,7427.0
100500.0,9178,7875,5356,7331,7437.0
101000.0,9189,7917,5367,7348,7445.0
101500.0,9203,7959,5383,7369,7466.0
102000.0,9214,8007,5393,7387,7483.0
102500.0,9231,8068,5406,7404,7501.0
103000.0,9249,8115,5420,7426,7515.0
103500.0,9263,8161,5432,7440,7531.0
104000.0,9280,8224,5442,7456,7545.0
104500.0,9288,8275,5457,7470,7568.0
105000.0,9299,8321,5469,7494,7580.0
105500.0,9310,8345,5478,7516,7596.0
106000.0,9322,8382,5488,7543,7610.0
106500.0,9337,8412,5497,7563,7626.0
107000.0,9348,8439,5506,7580,7640.0
107500.0,9362,8481,5520,7596,7651.0
108000.0,9381,8522,5533,7615,7663.0
108500.0,9400,8577,5539,7640,7675.0
109000.0,9408,8627,5561,7653,7695.0
109500.0,9430,8661,5571,7672,7706.0
110000.0,9454,8712,5593,7695,7718.0
110500.0,9471,8742,5604,7718,7729.0
111000.0,9491,8774,5611,7743,7748.0
111500.0,9505,8836,5620,7765,7768.0
112000.0,9519,8868,5629,7780,7782.0
112500.0,9536,8912,5645,7796,7795.0
113000.0,9551,8963,5659,7811,7812.0
113500.0,9566,9009,5671,7826,7826.0
114000.0,9578,9051,5680,7839,7843.0
114500.0,9590,9094,5702,7857,7864.0
115000.0,9603,9146,5727,7871,7877.0
115500.0,9619,9181,5746,7885,7897.0
116000.0,9629,9220,5756,7902,7912.0
116500.0,9641,9266,5767,7920,7926.0
117000.0,9651,9302,5784,7941,7941.0
117500.0,9662,9345,5798,7959,7960.0
118000.0,9670,9370,5807,7974,7975.0
118500.0,9678,9415,5834,7993,7990.0
119000.0,9685,9465,5851,8012,8003.0
119500.0,9695,9506,5872,8024,8035.0
120000.0,9710,9573,5885,8046,8057.0
120500.0,9722,9628,5894,8055,8077.0
121000.0,9735,9687,5904,8067,8095.0
121500.0,9748,9732,5917,8075,8111.0
122000.0,9759,9770,5936,8097,8142.0
122500.0,9780,9829,5949,8115,8173.0
123000.0,9789,9884,5960,8126,8181.0
123500.0,9798,9936,5973,8141,8202.0
124000.0,9806,9978,5983,8151,8212.0
124500.0,9819,10038,5995,8170,8224.0
125000.0,9826,10087,6011,8187,8234.0
125500.0,9839,10127,6036,8201,8258.0
126000.0,9850,10174,6057,8215,8268.0
126500.0,9861,10226,6063,8231,8282.0
127000.0,9877,10259,6086,8246,8294.0
127500.0,9898,10311,6099,8264,8309.0
128000.0,9909,10353,6111,8281,8318.0
128500.0,9918,10400,6125,8296,8329.0
129000.0,9928,10430,6140,8325,8349.0
129500.0,9937,10450,6154,8341,8362.0
130000.0,9947,10498,6178,8357,8373.0
130500.0,9957,10530,6198,8374,8385.0
131000.0,9967,10588,6216,8394,8399.0
131500.0,9981,10622,6230,8407,8419.0
132000.0,9991,10660,6256,8422,8440.0
132500.0,10005,10716,6281,8437,8458.0
133000.0,10025,10766,6299,8450,8473.0
133500.0,10039,10820,6319,8469,8486.0
134000.0,10048,10881,6340,8488,8504.0
134500.0,10056,10922,6362,8504,8522.0
135000.0,10072,10958,6375,8531,8532.0
135500.0,10085,11004,6388,8552,8543.0
136000.0,10098,11040,6397,8568,8555.0
136500.0,10113,11094,6408,8590,8570.0
137000.0,10130,11133,6422,8612,8587.0
137500.0,10155,11167,6430,8634,8599.0
138000.0,10163,11198,6445,8659,8621.0
138500.0,10184,11229,6460,8684,8633.0
139000.0,10196,11270,6473,8703,8644.0
139500.0,10203,11302,6485,8722,8653.0
140000.0,10212,11341,6496,8734,8667.0
140500.0,10220,11385,6510,8751,8680.0
141000.0,10230,11426,6536,8771,8692.0
141500.0,10237,11490,6548,8795,8710.0
142000.0,10247,11535,6565,8812,8719.0
142500.0,10255,11596,6576,8835,8728.0
143000.0,10267,11657,6584,8848,8743.0
143500.0,10282,11688,6597,8861,8757.0
144000.0,10295,11730,6605,8887,8769.0
144500.0,10306,11797,6615,8910,8778.0
145000.0,10321,11845,6631,8932,8788.0
145500.0,10331,11886,6642,8965,8807.0
146000.0,10340,11921,6658,9001,8821.0
146500.0,10347,11971,6675,9038,8842.0
147000.0,10359,12014,6689,9063,8856.0
147500.0,10372,12056,6698,9086,8882.0
148000.0,10381,12093,6706,9097,8896.0
