frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
96000.0,1189,1179,5798,1215,1335
96500.0,1194,1185,5828,1221,1341
97000.0,1200,1191,5856,1226,1346
97500.0,1205,1197,5880,1232,1352
98000.0,1210,1203,5905,1237,1357
98500.0,1216,1209,5924,1244,1363
99000.0,1221,1214,5967,1249,1370
99500.0,1228,1220,6011,1254,1377
100000.0,1233,1228,6036,1259,1383
100500.0,1238,1234,6063,1265,1389
101000.0,1245,1241,6096,1271,1396
101500.0,1252,1248,6130,1276,1404
102000.0,1257,1254,6148,1281,1411
102500.0,1262,1259,6168,1286,1416
103000.0,1267,1264,6189,1292,1423
103500.0,1273,1269,6212,1299,1430
104000.0,1279,1274,6230,1305,1437
104500.0,1286,1279,6244,1310,1445
105000.0,1293,1285,6270,1316,1451
105500.0,1298,1291,6312,1321,1456
106000.0,1303,1296,6353,1327,1465
106500.0,1308,1301,6401,1332,1471
107000.0,1314,1307,6439,1337,1476
107500.0,1319,1314,6486,1344,1484
108000.0,1324,1319,6522,1350,1489
108500.0,1331,1324,6553,1355,1495
109000.0,1339,1329,6575,1361,1500
109500.0,1344,1334,6617,1366,1507
110000.0,1350,1341,6642,1371,1512
110500.0,1355,1347,6673,1377,1519
111000.0,1360,1352,6708,1382,1525
111500.0,1366,1359,6753,1388,1530
112000.0,1371,1364,6792,1394,1537
112500.0,1378,1369,6831,1400,1543
113000.0,1383,1376,6866,1406,1549
113500.0,1390,1382,6907,1412,1555
114000.0,1395,1388,6935,1417,1560
114500.0,1400,1393,6963,1422,1566
115000.0,1405,1398,7007,1428,1572
115500.0,1410,1404,7031,1433,1578
116000.0,1416,1409,7071,1439,1584
116500.0,1422,1415,7109,1445,1590
117000.0,1428,1421,7145,1453,1595
117500.0,1434,1427,7180,1458,1600
118000.0,1439,1432,7195,1465,1606
118500.0,1445,1440,7213,1470,1612
119000.0,1451,1446,7247,1476,1617
119500.0,1458,1452,7291,1481,1623
120000.0,1464,1457,7323,1487,1629
120500.0,1469,1462,7359,1493,1636
121000.0,1475,1467,7383,1501,1642
121500.0,1480,1472,7415,1506,1648
122000.0,1489,1477,7444,1511,1656
122500.0,1498,1482,7470,1519,1662
123000.0,1503,1487,7508,1524,1668
123500.0,1508,1493,7537,1529,1674
124000.0,1514,1499,7575,1536,1679
124500.0,1519,1504,7609,1542,1684
125000.0,1526,1510,7660,1549,1693
125500.0,1532,1515,7695,1555,1699
126000.0,1538,1522,7727,1562,1706
126500.0,1543,1527,7767,1570,1712
127000.0,1549,1532,7799,1576,1721
127500.0,1556,1538,7828,1581,1727
128000.0,1562,1544,7868,1587,1732
128500.0,1567,1549,7909,1592,1737
129000.0,1574,1555,7945,1598,1742
129500.0,1579,1561,7978,1603,1748
130000.0,1584,1568,8027,1609,1754
130500.0,1591,1573,8070,1615,1759
131000.0,1596,1578,8111,1621,1765
131500.0,1601,1584,8140,1626,1771
132000.0,1607,1590,8160,1632,1778
132500.0,1613,1595,8175,1638,1784
133000.0,1619,1601,8200,1644,1790
133500.0,1624,1607,8219,1649,1797
134000.0,1630,1613,8236,1655,1802
134500.0,1637,1619,8267,1662,1808
135000.0,1643,1624,8302,1667,1813
135500.0,1649,1630,8337,1672,1820
136000.0,1655,1635,8369,1679,1826
136500.0,1661,1640,8395,1684,1831
