frames,local,simple,normal
500.0,0.3879638910293579,0.43219849467277527,0.6389291286468506
1000.0,0.31269773840904236,0.306369811296463,0.7935261726379395
1500.0,0.19612254202365875,0.1,0.8157204389572144
2000.0,0.1,0.1,0.8565600514411926
2500.0,0.1,0.1,0.9
3000.0,0.1,0.1,0.5856432318687439
3500.0,0.1,0.1,0.1671181172132492
4000.0,0.1,0.1,0.1
4500.0,0.1,0.1,0.1
5000.0,0.1,0.1,0.1
5500.0,0.1,0.1,0.1
6000.0,0.1,0.1,0.1
6500.0,0.1,0.1,0.1
7000.0,0.1,0.1,0.1
7500.0,0.1,0.1,0.1
8000.0,0.1,0.1,0.1
8500.0,0.1,0.1,0.1
9000.0,0.1,0.1,0.1
9500.0,0.1,0.1,0.1
10000.0,0.1,0.1,0.1
10500.0,0.1,0.1,0.1
11000.0,0.1,0.1,0.1
11500.0,0.1,0.1,0.1
12000.0,0.1,0.1,0.1
12500.0,0.1,0.1,0.1
13000.0,0.1,0.1,0.1
13500.0,0.1,0.1,0.1
14000.0,0.1,0.1,0.1
14500.0,0.1,0.1,0.1
15000.0,0.1,0.1,0.1
15500.0,0.1,0.1,0.1
16000.0,0.1,0.1,0.1
16500.0,0.1,0.1,0.1
17000.0,0.1,0.1,0.1
17500.0,0.1,0.1,0.1
18000.0,0.1,0.1,0.1
18500.0,0.1,0.1,0.1
19000.0,0.1,0.1,0.1
19500.0,0.1,0.1,0.1
20000.0,0.1,0.1,0.1
20500.0,0.1,0.1,0.1
21000.0,0.1,0.1,0.1
21500.0,0.1,0.1,0.1
22000.0,0.1,0.1,0.1
22500.0,0.1,0.1,0.1
23000.0,0.1,0.1,0.1
23500.0,0.1,0.1,0.1
24000.0,0.1,0.1,0.1
24500.0,0.1,0.1,0.1
25000.0,0.1,0.1,0.1
25500.0,0.1,0.1,0.1
26000.0,0.1,0.1,0.1
26500.0,0.1,0.1,0.1
27000.0,0.1,0.1,0.1
27500.0,0.1,0.1,0.1
28000.0,0.1,0.1,0.1
28500.0,0.1,0.1,0.1
29000.0,0.1,0.1,0.1
29500.0,0.1,0.1,0.1
30000.0,0.1,0.1,0.1
30500.0,0.1,0.1,0.1
31000.0,0.1,0.1,0.1
31500.0,0.1,0.1,0.1
32000.0,0.1,0.1,0.1
32500.0,0.1,0.1,0.1
33000.0,0.1,0.1,0.1
33500.0,0.1,0.1,0.1
34000.0,0.1,0.1,0.1
34500.0,0.1,0.1,0.1
35000.0,0.1,0.1,0.1
35500.0,0.1,0.1,0.1
36000.0,0.1,0.1,0.1
36500.0,0.1,0.1,0.1
37000.0,0.1,0.1,0.1
37500.0,0.1,0.1,0.1
38000.0,0.1,0.1,0.1
38500.0,0.1,0.1,0.1
39000.0,0.1,0.1,0.1
39500.0,0.1,0.1,0.1
40000.0,0.1,0.1,0.1
40500.0,0.1,0.1,0.1
41000.0,0.1,0.1,0.1
41500.0,0.1,0.1,0.1
42000.0,0.1,0.1,0.1
42500.0,0.1,0.1,0.1
43000.0,0.1,0.1,0.1
43500.0,0.1,0.1,0.1
44000.0,0.1,0.1,0.1
44500.0,0.1,0.1,0.1
45000.0,0.1,0.1,0.1
45500.0,0.1,0.1,0.1
46000.0,0.1,0.1,0.1
46500.0,0.1,0.1,0.1
47000.0,0.1,0.1,0.1
47500.0,0.1,0.1,0.1
48000.0,0.1,0.1,0.1
48500.0,0.1,0.1,0.1
49000.0,0.1,0.1,0.1
49500.0,0.1,0.1,0.1
50000.0,0.1,0.1,0.1
50500.0,0.1,0.1,0.1
51000.0,0.1,0.1,0.1
51500.0,0.1,0.1,0.1
52000.0,0.1,0.1,0.1
52500.0,0.1,0.1,0.1
53000.0,0.1,0.1,0.1
