frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
92500.0,0,0,3,2,2
93000.0,0,0,3,0,2
93500.0,0,0,0,0,3
94000.0,1,0,0,0,0
94500.0,1,0,2,2,0
95000.0,1,1,0,0,2
95500.0,0,2,3,0,0
96000.0,0,0,0,0,0
96500.0,0,1,0,0,2
97000.0,1,2,0,1,0
97500.0,0,0,0,3,2
98000.0,0,0,1,1,0
98500.0,1,1,3,0,1
99000.0,0,1,1,0,0
99500.0,0,1,3,2,2
100000.0,0,1,3,0,0
100500.0,0,1,0,0,0
101000.0,0,0,0,1,3
101500.0,0,0,2,2,0
102000.0,0,0,3,3,1
102500.0,0,0,3,0,0
103000.0,1,0,3,2,3
103500.0,1,0,2,1,2
104000.0,0,0,2,2,2
104500.0,0,0,0,3,0
105000.0,0,0,2,0,2
105500.0,0,0,0,0,2
106000.0,0,0,2,3,2
106500.0,1,2,0,3,0
107000.0,0,0,0,0,0
107500.0,0,0,2,0,0
108000.0,1,0,0,1,2
108500.0,0,0,1,0,3
109000.0,1,0,0,0,0
109500.0,0,2,0,2,3
110000.0,0,0,0,2,2
110500.0,0,1,0,2,3
111000.0,0,1,3,0,2
111500.0,0,1,2,1,2
112000.0,0,1,0,3,3
112500.0,1,1,2,1,0
113000.0,1,1,1,0,0
113500.0,1,1,2,1,0
114000.0,0,1,0,2,1
114500.0,0,1,2,1,0
115000.0,0,1,1,1,1
115500.0,1,0,3,0,1
116000.0,0,0,3,0,2
116500.0,0,0,0,0,1
117000.0,0,2,0,3,0
117500.0,1,1,1,0,2
118000.0,1,1,1,1,3
118500.0,0,2,1,2,0
119000.0,0,0,3,2,0
119500.0,0,0,0,0,2
120000.0,0,0,0,1,3
120500.0,1,0,2,1,3
121000.0,1,1,3,1,0
121500.0,1,2,0,0,0
122000.0,0,0,0,0,0
122500.0,0,0,0,3,2
123000.0,0,1,0,2,2
123500.0,0,1,0,3,2
124000.0,0,1,0,3,2
124500.0,1,0,3,1,2
125000.0,1,0,3,3,0
125500.0,1,0,2,0,2
126000.0,0,1,3,3,2
126500.0,0,1,0,0,3
127000.0,1,0,3,0,2
127500.0,1,2,0,2,1
128000.0,0,0,2,1,0
128500.0,0,0,2,2,2
129000.0,0,2,1,1,0
129500.0,0,0,3,0,3
130000.0,1,1,0,2,1
130500.0,0,1,1,1,3
131000.0,0,0,0,0,1
131500.0,0,0,0,2,2
132000.0,0,0,2,0,2
132500.0,0,0,3,0,2
133000.0,1,0,0,1,3
133500.0,0,2,1,0,0
134000.0,1,0,3,0,2
134500.0,1,0,2,0,0
135000.0,1,0,3,0,2
135500.0,0,0,0,0,2
136000.0,0,0,2,0,2
136500.0,0,1,0,2,2
137000.0,1,2,0,0,2
137500.0,0,0,2,0,3
138000.0,0,1,2,2,0
138500.0,1,1,3,2,0
139000.0,1,1,3,0,0
139500.0,0,0,3,0,0
140000.0,0,1,3,0,1
140500.0,0,1,3,3,2
141000.0,1,2,3,0,3
141500.0,0,1,3,1,2
142000.0,0,0,3,3,0
142500.0,0,0,2,0,1
143000.0,0,0,0,0,3
143500.0,0,2,3,0,3
144000.0,0,2,0,0,2
144500.0,1,0,3,0,3
145000.0,0,0,1,0,2
145500.0,0,2,3,0,2
146000.0,1,1,2,0,2
146500.0,0,2,0,0,3
147000.0,0,0,3,3,3
147500.0,0,0,3,1,0
148000.0,0,0,2,2,2
148500.0,0,0,0,1,0
149000.0,0,0,0,2,3
149500.0,0,0,0,0,2
